,name_numbers,author,holding,lawyers_judge
StoneEagle Services Inc v Gillman,"['StoneEagle Services, Inc. v. Gillman, 746 F.3d 1059 (2014)']","[' Rader, Chief']","[""s: The Court of Appeals, Rader, Chief Judge, held that:\n\n[1] the Court of Appeals had appellate jurisdiction over the District Court's second order, and\n\n[2] there was no justiciable federal controversy.\n\nVacated and remanded.\n\n""]","['\n\n*1060  Beverly A. Whitley, Bell Nunnally & Martin, LLP, of Dallas, TX, argued for plaintiff-appellee. With her on the\nbrief were Christopher B. Trowbridge, R. Heath Cheek, and Ross A. Williams.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n2\n\n\x0cStoneEagle Services, Inc. v. Gillman, 746 F.3d 1059 (2014)\n110 U.S.P.Q.2d 1165\n\nJames Robert Arnett, II, of Carter Stafford Arnett Hamada & Mockler, PLLC, of Dallas, TX, argued for defendants-\nappellants. With him on the brief were Edgar Leon Carter and Sean T. Hamada.\n\nBefore RADER, Chief Judge, MOORE and REYNA, Circuit Judges.\n\n']"
Carnegie Mellon University v Marvell Technology Group Ltd,"['Carnegie Mellon University v. Marvell Technology Group, Ltd., 807 F.3d 1283 (2015)']","[' Taranto, Circuit']","[""s: The Court of Appeals, Taranto, Circuit Judge, held that:\n\n[1] sufficient evidence supported jury's finding that patents were not invalid based on anticipation or obviousness;\n\n[2] sufficient evidence supported jury's finding of infringement;\n\n[3] the District Court did not abuse its discretion in denying manufacturer's laches defense;\n\n[4] sufficient evidence supported jury's finding of willful infringement;\n\n[5] manufacturer's invalidity defense was reasonable;\n\n[6] the District Court did not abuse its discretion in accepting testimony of university's damages expert;\n\n[7] sufficient evidence supported jury's royalty award; and\n\n[8] the District Court's failure to give instruction on presumption against extraterritorial reach of patent law was plainly\nerroneous.\n\nAffirmed in part, reversed in part, vacated in part, and remanded.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cCarnegie Mellon University v. Marvell Technology Group, Ltd., 807 F.3d 1283 (2015)\n116 U.S.P.Q.2d 1081\n\n""]","['\n\n*1287  E. Joshua Rosenkranz, Orrick, Herrington & Sutcliffe LLP, New York, N.Y., argued for plaintiff-appellee.\nAlso  represented  by  Eric  Shumsky,  Washington,  DC;  Bas  de  Blank,  Menlo  Park,  CA;  Patrick  Joseph  McElhinny,\nMark G. Knedeisen, Christopher Michael Verdini, K & L Gates LLP, Pittsburgh, PA; Theodore J. Angelis, Douglas\nB. Greenswag, David T. McDonald, Seattle, WA.\n\nKathleen M. Sullivan, Quinn Emanuel Urquhart & Sullivan, LLP, New York, NY, argued for defendants-appellants.\nAlso represented by Edward J. DeFranco, Joseph Milowic, III, Cleland B. Welton, II; Susan Rachel Estrich, Michael\nThomas Zeller, Los Angeles, CA; Kevin P.B. Johnson, Redwood Shores, CA; Derek Shaffer, Washington, DC; Roy\nWang, Marvell Semiconductor, Inc., Santa Clara, CA.\n\nAnn A. Byun, Hewlett–Packard Company, Wayne, PA, for amicus curiae Hewlett–Packard Company.\n\nAnthony Peterman, Dell Inc., Round Rock, TX, for amicus curiae Dell Inc.\n\nMarta Y. Beckwith, Aruba Networks, Inc., Sunnyvale, CA, for amicus curiae Aruba Networks, Inc.\n\nDan  L.  Bagatell,  Perkins  Coie  LLP,  Phoenix,  AZ,  for  amici  curiae  Broadcom  *1288   Corporation,  Google  Inc.,\nLimelight  Networks,  Inc.,  Microsoft  Corporation,  SAS  Institute  Inc.,  Xilinx,  Inc.  Also  represented  by  Kenneth  J.\nHalpern, Palo Alto, CA.\n\nDonald Manwell Falk, Mayer Brown, LLP, Palo Alto, CA, for amici curiae Jeremy Bock, Michael A. Carrier, Bernard\nChao,  Jorge  L.  Contreras,  Robert  A.  Heverly,  Timothy  R.  Holbrook,  Amy  Landers,  Mark  A.  Lemley,  Yvette  Joy\nLiebesman, Brian J. Love, Tyler T. Ochoa, Pamela Samuelson, Christopher B. Seaman, Lea Shaver, Toshiko Takenaka.\nAlso represented by Brian J. Love, Santa, Clara, CA.\n\nDaniel B. Ravicher, Ravicher Law Firm, Coral Gables, FL, for amicus curiae Daniel B. Ravicher.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n7\n\n\x0cCarnegie Mellon University v. Marvell Technology Group, Ltd., 807 F.3d 1283 (2015)\n116 U.S.P.Q.2d 1081\n\nJ. Anthony Downs, Goodwin Procter LLP, Boston, MA, for amici curiae Boston University, Rice University, Texas A\n& M University, the University of Kansas, The University of Pittsburgh, the University of Minnesota. Also represented\nby William M. Jay, Washington, DC; David Zimmer, San Francisco, CA.\n\nBefore WALLACH, TARANTO, and CHEN, Circuit Judges.\n\n']"
AbbVie Deutschland GmbH And Co KG v Janssen Biotech Inc,"['AbbVie Deutschland GmbH & Co., KG v. Janssen Biotech, Inc., 759 F.3d 1285 (2014)']","[' Lourie, Circuit']","[""s: The Court of Appeals, Lourie, Circuit Judge, held that:\n\n[1] prior interference ruling by the Board of Patent Appeals and Interferences regarding priority and nonobviousness\nlacked requisite finality for purposes of collateral estoppel;\n\n[2] asserted patent claims for class of fully human antibodies that were defined by their high affinity and neutralizing\nactivity to known human antigen were invalid for lack of adequate written description;\n\n[3] district court did not abuse its discretion in excluding evidence of interference proceeding;\n\n[4]  district  court  did  not  abuse  its  discretion  in  trial  over  written  description  requirement  by  excluding  additional\ntestimony summarizing prosecution arguments made to PTO; and\n\n[5] any errors with regard to obviousness issue were not prejudicial on issue of written description that was decided in\ncompetitor's favor.\n\nAffirmed.\n\nO'Malley, Circuit Judge, filed opinion concurring in the judgment.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cAbbVie Deutschland GmbH & Co., KG v. Janssen Biotech, Inc., 759 F.3d 1285 (2014)\n111 U.S.P.Q.2d 1780\n\n""]","[""\n\n*1289  William F. Lee, Wilmer Cutler Pickering Hale and Dorr LLP, of Boston, MA, argued for appellants. With him\non the brief were Robert J. Gunther, Jr., Jane M. Love, and Violetta Watson, of New York, N.Y.; William G. McElwain,\nThomas G. Saunders, Rachel L. Weiner, and Matthew Guarnieri, of Washington, DC; and Arthur W. Coviello, of Palo\nAlto, CA. Of counsel was Mark C. Fleming, of Boston, MA.\n\nDianne B. Elderkin, Akin Gump Strauss Hauer & Feld LLP, of Philadelphia, PA, argued for appellees. With her on\nthe brief were Barbara L. Mullin, Steven D. Maslowski, Angela Verrecchio, and Matthew A. Pearson; and Emily C.\nJohnson, of Washington, DC.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n6\n\n\x0cAbbVie Deutschland GmbH & Co., KG v. Janssen Biotech, Inc., 759 F.3d 1285 (2014)\n111 U.S.P.Q.2d 1780\n\nJames J. Kelley, Eli Lilly and Company, of Indianapolis, IN, for amicus curiae Eli Lilly and Company. With him on the\nbrief were Ted J. Ebersole, Alexander Wilson, and Sanjay Jivraj. On the brief for amicus curiae Pfizer Inc. was Jeffrey\nJ. Oelke, White and Case LLP, of New York, N.Y.\n\nOskar Liivak, Cornell Law School, of Ithaca, N.Y., for amicus curiae Professor Oskar Liivak.\n\nBefore LOURIE, O'MALLEY, and CHEN, Circuit Judges.\n\n""]"
Atlas IP LLC v St Jude Medical Inc,"['Atlas IP, LLC v. St. Jude Medical, Inc., 804 F.3d 1185 (2015)']",[],"[':] The Court of Appeals, Taranto, Circuit Judge, held that “transmitting” limitation did not require starting\ntime and duration of a communication cycle to be sent in advance of the communication cycle.\n\nVacated and remanded.\n\n']","['\n\n*1186   George  C.  Summerfield,  Jr.,  Stadheim  &  Grear,  Ltd.,  Chicago,  IL,  argued  for  plaintiff-appellant.  Also\nrepresented by Rolf Stadheim, Robert M. Spalding.\n\nMark  Andrew  Perry,  Gibson,  Dunn  &  Crutcher  LLP,  Washington,  DC,  argued  for  defendants-appellees.  Also\nrepresented by Wayne M. Barsky, Jennifer Rho, Los Angeles, CA; Hervey Mark Lyon, Palo Alto, CA; Neema Jalali,\nSan Francisco, CA.\n\nBefore: MOORE, REYNA, and TARANTO, Circuit Judges.\n\n']"
Technology Patents LLC v TMobile (UK) Ltd,"['Technology Patents LLC v. T-Mobile (UK) Ltd., 700 F.3d 482 (2012)']","[' Bryson, Circuit']","[""s: The Court of Appeals, Bryson, Circuit Judge, held that:\n\n[1] patent was not infringed by domestic carriers' accused products, but\n\n[2] remand was required to determine whether patent was infringed by developers' accused products.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n3\n\n\x0cTechnology Patents LLC v. T-Mobile (UK) Ltd., 700 F.3d 482 (2012)\n105 U.S.P.Q.2d 1257\n\nAffirmed in part, vacated in part, and remanded.\n\n""]","['\n\n*487  Joseph A. Rhoa, Nixon & Vanderhye, P.C., of Arlington, VA, argued for plaintiff-appellant. With him on the\nbrief were Gordon P. Klancnik and Undeep S. Gill.\n\nIan N. Feinberg, Feinberg Day Albert & Thompson LLP, of Palo Alto, CA, argued for defendants-appellees T–Mobile\n(UK), et al., Advanced Info Service PLC, et al., American Movil S.A.B. de C.V., et al., Belgacom Mobil S.A., et al.,\nBasen N.V./S.A., et al., Bouygues Telecom S.A., and Kiddi Corporation, and Bermuda Digital Communications Ltd.,\nand Chunghwa Telecom, Co. Ltd., et al., PCCW Mobil HK Limited, and M3 Wireless Ltd., and France Telecom Espana\nS.A.,  et  al.,  TMN–Telecomunicacoes  Movies  Nacionais,  S.A.,  and  H3G  S.P.A.,  et  al.,  and  Kabushiki  Kaisha  NTT\nDoCoMo, et al., Avea Iletisim Hizmetleri A.S., and O2 (Germany) GmbH & Co. OHG, et al., TeliaSonera Norge AS, et\nal., Rogers Wireless Partnership, Pannon GSM Telecommunications Ltd., et al., Sonaecom–Servicos De Comunicacoes,\nS.A., and True Move Company Limited, and Telecom Italia S.P.A., et al., Wind Hellas Telecommunications S.A. et\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n5\n\n\x0cTechnology Patents LLC v. T-Mobile (UK) Ltd., 700 F.3d 482 (2012)\n105 U.S.P.Q.2d 1257\n\nal., Netcom AS, et al., DEA Cellular Limited. With him on the brief were Andrew R. Sommer, Winston & Strawn,\nLLP, of Washington, DC, for the defendants-appellees TNL PCS S.A. and Stuart J. Sinder, Kenyon & Kenyon, LLP,\nof New York, NY, for defendant-appellees T–Mobile (UK), Ltd., et al., Doris Johnson Hines, Finnegan, Henderson,\nFarabow, Garrett & Dunner, LLP, of Washington, DC, for defendants-appellees Advanced Info Service PLC, et al.,\nSteven  R.  Selsberg,  Mayer  Brown,  LLP,  of  Houston,  TX,  for  defendant-appellees  America  Movil,  et  al.,  Matthew\nJ.  Moore,  Latham  &  Watkins  LLP,  of  Washington,  DC,  for  defendants-appellees  Base  N.V./S.A.,  et  al.,  Louis  M.\nSolomon, Cadwalader, Wickersham & Taft LLP, of New York, NY, for defendant-appellee Bouygues Telecom S.A.,\nand Edward C. Donovan, D. Sean Trainor and William H. Burgess, Kirkland & Ellis, LLP, of Washington, DC, for\ndefendant-appellee KDDI Corporation, and Roderick R. McKelvie, Covington & Burling LLP, of Washington, DC,\nfor defendant-appellee Bermuda Digital Communications Ltd., Brian WM. Higgins, Blank Rome, LLP, of Washington,\nDC, for defendant-appellees Chunghwa Telecom Co. Ltd., et al., Russell E. Levine, Kirkland & Ellis LLP, of Chicago,\nIL,  for  defendant-appellee  PCCW  Mobile  HK  Limited,  and  Robert  C.  Bertin  and  Catherine  R.  Murphy,  Bingham\nMcCutchen LLP, of Washington, DC, for defendant-appellee M3 Wireless Ltd., and James W. Dabney, Fried, Frank,\nHarris,  Shriver  &  Jacobson  LLP,  of  New  York,  NY,  for  defendant-appellees  France  Telecom  Espana  S.A.,  et  al.,\nand David L.  *488  Leichtman and Bryan J. Vogel, Robins, Kaplan, Miller & Ciresi L.L.P., of New York, NY, for\ndefendant-appellee TMN–Telecomunicacoes Moveis Nacionais, S.A., and Stephen B. Kinnaird, Paul Hastings, LLP, of\nWashington, DC, for defendant-appellees H3G S.P.A., et al., Sherman W. Kahn, Morrison & Foerster LLP, of New\nYork, NY, for defendant-appellees Kabushiki Kaisha NTT DoCoMo, et al., Scott R. Matthews, Windels, Marx, Lane\n& Mittendorf, of New York, NY, for defendant-appellee Avea Iletisim Hizmetleri A.S., and Steven J. Young, Dewey\n& LeBoeuf LLP, of New York, NY, for defendant-appellees O2 (Germany) GmbH & Co., OHG, et al., Stephen S.\nMadsen, Cravath Swaine & Moore, LLP, of New York, NY, for defendant-appellees TeliaSonera Norge AS, et al.,\nEdward Han, Arnold & Porter, LLP, of Washington, DC, for defendant-appellee Rogers Wireless Partnership, and\nRobert  C.  Nissen  and  William  T.  Enos,  Nissen  &  Associates,  of  Washington,  DC,  for  defendant-appellees  Pannon\nGSM Telecommunications Ltd., et al., Brian C. Riopelle, McGuire Woods LLP, of Richmond, VA, for defendant-\nappellee Sonaecom–Services de Comunicacoes, S.A., and Jay F. Utley, W. Bart Rankin and Nathan A. Engels, Baker\n& McKenzie LLP, of Dallas, TX, for defendant-appellee True Move Limited Company, and Maximilian A. Grant,\nLatham & Watkins LLP, of Washington, DC, for defendant-appellees Telecom Italia S.P.A., et al., and Adam Gahtan,\nWhite & Case LLP, of New York, NY, for defendant-appellees Wind Hellas Telecommuications, S.A., et al.\n\nBryant C. Boren, Jr., Baker Botts LLP, of Dallas, TX, argued for defendants-appellees AT & T Mobility, LLC, T–\nMobile, USA, Inc., Cellco, Partnership d/b/a Verizon Wireless, LG Electronics Mobilecomm U.S.A., Inc., Motorola\nSolutions, Inc. (f.k.a. Motorola, Inc.), Sprint Nextel Corporation and Helio, LLC, and Palm, Inc. With him on the\nbrief were Christopher W. Kennerly, Samara L. Kline, and Kevin E. Cadwell, for defendant-appellee AT & T Mobility,\nLLC, of counsel was Joshua J. Parker. Also on the brief were Ramsey M. Al–Salam and Kaustuv M. Das, Perkins\nCoie, LLP, of Seattle, WA, for defendant-appellee T–Mobile USA, Inc., and Kevin P. Anderson, James H. Wallace,\nJr., and Karin Hessler, Wiley Rein LLP, of Washington, DC, for defendant-appellee Cellco Partnership (d/b/a/ Verizon\nWireless), and Michael J. McKeon and Linda Liu Kordziel, Fish & Richardson P.C., of Washington, DC, for defendant-\nappellee LG Electronics MobileComm U.S.A., Inc., and Andrew R. Sommer, Cyrus T. Frelinghuysen, and Gregory P.\nEaton, Winston & Strawn, LLP, of Washington, DC, and Jonathan E. Retsky, of Chicago, IL, for defendant-appellee\nMotorola Solutions, Inc. (f.k.a. Motorola, Inc.), and Brian M. Koide, Crowell & Moring LLP, of Washington, DC, for\ndefendant-appellees, Sprint Nextel Corporation and Helio, LLC, and Michael M. Markman and Robert J. Williams,\nCovington & Burling LLP, of San Francisco, CA, for defendant-appellee Palm, Inc.\n\nGeorge F. Pappas, Covington & Burling, LLP, of Washington, DC, argued for defendants-appellees Clickatell (PTY)\nLtd., Yahoo!, Inc. and Microsoft Corporation. With him on the brief were Peter A. Swanson, Erica N. Andersen, for\ndefendant-appellee, Microsoft Corporation, and Adam R. Alper, Kirkland & Ellis, LLP, of San Francisco, CA, for\ndefendant-appellee, Yahoo!, Inc. Of counsel were Stefani E. Shanberg and Robin L. Brewer, Wilson Sonsini Goodrich\n& Rosati, of Palo Alto, CA, for defendant-appellee Clickatell (PTY) Ltd.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n6\n\n\x0cTechnology Patents LLC v. T-Mobile (UK) Ltd., 700 F.3d 482 (2012)\n105 U.S.P.Q.2d 1257\n\n*489  Jonathan E. Retsky, Winston & Strawn LLP, of Chicago, IL, Andrew R. Sommer and Cyrus T. Frelinghuysen,\nof Washington, DC, for Intervenor Motorola Mobility, Inc.\n\nBefore BRYSON, PROST, and REYNA, Circuit Judges.\n\n']"
Princeton Vanguard LLC v FritoLay North America Inc,"['Princeton Vanguard, LLC v. Frito-Lay North America, Inc., 786 F.3d 960 (2015)']",[],"["":] The Court of Appeals, O'Malley, Circuit Judge, held that Trademark Trial and Appeal Board was required\nto consider genericness of the “PRETZEL CRISPS” mark in its entirety.\n\nVacated and remanded.\n\n""]","[""\n\n*962  David Hal Bernstein, Debevoise & Plimpton LLP, New York, N.Y., argued for appellant. Also represented by\nJeremy N. Klatell, Lauren E. Kapsky.\n\nWilliam G. Barber, Pirkey Barber LLP, Austin, TX, argued for appellee. Also represented by Paul Joseph Thomas\nMadrid.\n\nJohn  W.  Crittenden,  Cooley  LLP,  San  Francisco,  CA,  for  amicus  curiae  Counsel  of  American  Survey  Research\nOrganizations Incorporated. Also represented by Vincent James Badolato, Morgan Ayn Champion, Washington, DC.\n\nBefore LOURIE, O'MALLEY, and REYNA, Circuit Judges.\n\n""]"
NexLearn LLC v Allen Interactions Inc,"['NexLearn, LLC v. Allen Interactions, Inc., 859 F.3d 1371 (2017)']","[' Moore, Circuit']","[""s: The Court of Appeals, Moore, Circuit Judge, held that:\n\n[1] competitor's contacts predating issuance of patent were not relevant contacts for establishing specific jurisdiction;\n\n[2]  competitor's  inclusion  of  Kansas  in  dropdown  menu  on  website  was  insufficient  to  establish  minimum  contacts\nsubjecting competitor to jurisdiction; and\n\n[3] competitor's isolated offer of free trial to Kansas resident was insufficient to establish substantial connection with\nKansas to warrant exercise of specific jurisdiction.\n\nAffirmed.\n\n""]","[""\n\nPaul K. Vickrey, Vitale Vickrey Niro & Gasey, Chicago, IL, argued for plaintiff-appellant.\n\nMartin B. Pavane, Cozen O'Connor, New York, NY, argued for defendant-cross-appellant. Also represented by Darren\nScott Mogil.\n\nBefore Moore, Schall, and Hughes, Circuit Judges.\n\n""]"
Roche Vitamins Inc v US,"['Roche Vitamins, Inc. v. U.S., 772 F.3d 728 (2014)']",[],"["":] The Court of Appeals, Lourie, Circuit Judge, held that importer's beta-carotene product was classifiable as\nprovitamins unmixed.\n\nAffirmed.\n\n""]","['\n\n*728  Erik D. Smithweiss, Grunfeld, Desiderio, Lebowitz, Silverman & Klestadt LLP, of New York, NY, argued for\nplaintiff-appellee. With him on the brief were Robert B. Silverman and Joseph M. Spraragen.\n\nPatricia M. McCarthy, Assistant Director, Commercial Litigation Branch, Civil Division, United States Department\nof Justice, of Washington, DC, argued for defendant-appellant. With her on the brief were Stuart F. Delery, Assistant\nAttorney  General,  and  Jeanne  E.  Davidson,  Director.  Of  counsel  on  the  brief  were  Edward  N.  Maurer  and  Sheryl\nA. French, Office of Assistant Chief Counsel, International  *729  Trade Litigation, United States Customs & Border\nProtection, of New York, N.Y. Of counsel was Saul Davis, Attorney, Appellate Section, International Trade Litigation,\nInternational Trade Field Office, United States Department of Justice, of New York, N.Y.\n\nBefore PROST, Chief Judge, LOURIE and DYK, Circuit Judges.\n\n']"
AstraZeneca AB v Apotex Corp,"['AstraZeneca AB v. Apotex Corp., 782 F.3d 1324 (2015)']","[' Bryson, Circuit']","[""s: The Court of Appeals, Bryson, Circuit Judge, held that:\n\n[1] royalty rate of 50 percent constituted fair compensation;\n\n[2] costs that competitor would have incurred to produce non-infringing product were relevant to reasonable royalty;\n\n[3] value of active ingredient, patent on which had expired, did not have to be excluded when calculating damages for\ncompetitor's infringement of formulation patents;\n\n[4] “entire market value rule” did not apply;\n\n[5]  value  of  patents  did  not  have  to  be  discounted  based  on  existence  of  alternatives  to  infringing  formulation  that\ncompetitor actually used; and\n\n[6] patentee was not entitled to reasonable royalties during exclusivity period for pediatric drug after patent on drug\nhad expired.\n\nAffirmed in part, reversed in part, and remanded.\n\n""]","[""\n\n*1328  Constantine L. Trela, Jr., Sidley Austin, LLP, Chicago, IL, argued for plaintiffs-appellees. Also represented by\nJohn W. Treece, David C. Giardina; Joshua Eugene Anderson, Los Angeles, CA; Paul Zegger, Washington, DC.\n\nJames F. Hurst, Winston & Strawn LLP, Chicago, IL, Steffen Nathanael Johnson, Eimeric Reig–Plessis, Christopher\nErnest Mills, Washington, DC.\n\nBefore O'MALLEY, CLEVENGER, and BRYSON, Circuit Judges.\n\n""]"
Oplus Technologies Ltd v Vizio Inc,"['Oplus Technologies, Ltd. v. Vizio, Inc., 782 F.3d 1371 (2015)']",[],"[""s Corporation, Defendant.\n\nNo. 2014–1297.\n\n|\n\nApril 10, 2015.\n\nSynopsis\nBackground: Patent holder brought action in the Northern District of Illinois, alleging infringement of patents concerning\nmethods of video signal error correction and deinterlacing technologies. Following transfer of venue, holder's motion\nto transfer the case back to transferor court for consolidation with holder's other infringement cases in multidistrict\nlitigation was denied. The United States District Court for the Central District of California, Mariana R. Pfaelzer, Senior\nDistrict Judge, granted summary judgment of noninfringement but denied an alleged infringer's motion for attorney and\nexpert witness fees. Alleged infringer appealed.\n\n[Holding:] The Court of Appeals, Moore, Circuit Judge, held that District Court's order would be vacated and remanded\nfor reconsideration under lowered standard for awarding attorney fees.\n\nVacated and remanded.\n\n""]","[""\n\n*1372  Michael E. Joffre, Kellogg, Huber, Hansen, Todd, Evans & Figel, PLLC, Washington, DC, argued for plaintiff-\nappellee. Also represented by Arthur A. Gasey; Daniel R. Ferri, Raymond Pardo Niro, I, Niro, Haller & Niro, Chicago,\nIL.\n\nAdrian  Mary  Pruetz,  Glaser,  Weil,  Fink,  Jacobs,  Howard,  Avchen  &  Shapiro  LLP,  Los  Angeles,  CA,  argued  for\ndefendant-appellant. Also represented by Charles Christian Koole, Dan Liu, Mieke K. Malmberg.\n\nBefore PROST, Chief Judge, MOORE, and O'MALLEY, Circuit Judges.\n\n""]"
Drone Technologies Inc v Parrot SA,"['Drone Technologies, Inc. v. Parrot S.A., 838 F.3d 1283 (2016)']","[' Schall, Circuit']","[""s: The Court of Appeals, Schall, Circuit Judge. held that:\n\n[1] assignor was presumed to be correctly named as sole inventor on patents, and thus assignee had standing to bring\ninfringement suit in its own name;\n\n[2]  district  court  abused  its  discretion  by  issuing  discovery  orders  compelling  defendant  to  produce  source  code,\nspecifications, schematics, and flow charts relating to accused products;\n\n[3] considering relevant factors was prudent when analyzing whether district court abused its discretion in imposing\ndefault judgment as sanction for defendant's failure to comply with discovery orders; and\n\n[4] factors as to prejudice to assignee and availability of alternative sanctions outweighed other factors, and thus imposing\ndefault judgment as discovery sanction was not appropriate.\n\nVacated and remanded.\n\nNewman, Circuit Judge, filed concurring opinion.\n\n""]","['\n\nGene A. Tabachnick, Beck & Thomas, P.C., Pittsburgh, PA, argued for plaintiff-appellee. Also represented by Richard\nT. Ting.\n\nJeffrey A. Lamken, MoloLamken LLP, Washington, DC, argued for defendants-appellants. Also represented by Sarah\nJustine Newman, Eric Richard Nitz; James E. Hopenfeld, Singer Bea LLP, San Francisco, CA; Tammy J. Terry, Osha\nLiang LLP, Houston, TX; John M. Whealan, Chevy Chase, MD.\n\nBefore Newman, Schall, and Chen, Circuit Judges.\n\n']"
Amgen Inc v Sanofi,"['Amgen Inc. v. Sanofi, 872 F.3d 1367 (2017)']","[' Prost, Chief']","[""s: The Court of Appeals, Prost, Chief Judge, held that:\n\n[1]  evidence  showing  that  patent  purportedly  did  not  disclose  representative  number  of  species  was  relevant  to\nrepresentativeness question;\n\n[2] post-priority-date evidence showing that patentee engaged in lengthy and potentially undue experimentation to enable\nfull scope of claims could be relevant to determining if claims were enabled as of priority date and should not have been\nexcluded simply because it post-dated the claims' priority date;\n\n[3] finding of adequate written description could not be permitted merely from finding of ability to make and use;\n\n[4] competitors were not entitled to judgment as matter of law (JMOL) of no written description and no enablement; and\n\n[5] patents were not obvious.\n\nAffirmed in part, reversed in part, vacated in part, and remanded.\n\n""]","['\n\nDARYL JOSEFFER, King & Spalding LLP, Washington, DC, argued for plaintiffs-appellees. Also represented by\nCHRISTOPHER  ROBERT  HEALY,  JOSHUA  NATHANIEL  MITCHELL;  MERRITT  ELLEN  MCALISTER,\nAtlanta,  GA;  KATHERINE  NICOLE  CLOUSE,  SARAH  CHAPIN  COLUMBIA,  McDermott,  Will  &  Emery\nLLP,  Boston,  MA;  WILLIAM  G.  GAEDE,  III,  Menlo  Park,  CA;  ERIC  W.  HAGEN,  Los  Angeles,  CA;  Emily\nCurtis Johnson, ERICA S. OLSON, DENNIS J. SMITH, STEVEN D. TANG, STUART L. WATT, WENDY A.\nWHITEFORD,  Amgen  Inc.,  Thousand  Oaks,  CA;  CHRISTOPHER  MEAD,  London  &  Mead,  Washington,  DC;\nMELANIE K. SHARP, Young, Conaway, Stargatt & Taylor LLP, Wilmington, DE.\n\nPAUL D. CLEMENT, Kirkland & Ellis LLP, Washington, DC, argued for defendants-appellants. Also represented\nby  GEORGE  W.  HICKS,  JR.,  NATHAN  S.  MAMMEN;  SIEW  YEN  CHONG,  VISHAL  C.  GUPTA,  JOHN  J.\nMOLENDA, Steptoe & Johnson, LLP, New York, NY; RICHARD PRASEUTH, Los Angeles, CA; KILEY ANN\nWHITE, Washington, DC.\n\nDUANE  CHRISTOPHER  MARKS,  Eli  Lilly  and  Company,  Indianapolis,  IN,  for  amicus  curiae  Eli  Lilly  and\nCompany. Also represented by GREGORY ALAN COX, GILBERT VOY, ALEXANDER WILSON.\n\nBARBARA  ANNE  JONES,  AARP  Foundation  Litigation,  Pasadena,  CA,  for  amici  curiae  AARP  and  AARP\nFoundation.\n\nDIMITRIOS T. DRIVAS, White & Case LLP, New York, NY, for amicus curiae Pfizer Inc. Also represented by ERIC\nM. MAJCHRZAK, AMIT THAKORE; JEFFREY NEIL MYERS, Pfizer Inc., New York, NY.\n\nDAVID A. KELLY, Hunton & Williams LLP, Atlanta, GA, for amicus curiae Ipsen Pharma S.A.S.\n\nMELISSA ARBUS SHERRY, Latham & Watkins LLP, Washington, DC, for amicus  *1371  curiae AbbVie Inc. Also\nrepresented by MICHAEL A. MORIN, EMILY K. SAUTER.\n\nWILLIAM  MARSILLO,  Boies,  Schiller  &  Flexner,  LLP,  Armonk,  NY,  for  amici  curiae  Luis  Aparicio,  M.D.,  W.\nRoss Davis, M.D., Avichai Eres, M.D., Norman Lepor, M.D., Mary McGowan, M.D., Narendra Singh, M.D., Paul\nThompson, M.D., Rosa DeBernardo, Alina Wilson. Also represented by MICHAEL JAY, Santa Monica, CA.\n\nBefore Prost, Chief Judge, Taranto and Hughes, Circuit Judges.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n5\n\n\x0cAmgen Inc. v. Sanofi, 872 F.3d 1367 (2017)\n124 U.S.P.Q.2d 1354\n\n']"
Soverain Software LLC v Newegg Inc,"['Soverain Software LLC v. Newegg Inc., 705 F.3d 1333 (2013)']","[' Newman, Circuit']","[""s: The Court of Appeals, Newman, Circuit Judge, held that:\n\n[1] district court's removal of legal question from jury did not violate right to jury trial;\n\n[2] prior art system, by clear and convincing evidence, rendered obvious “shopping cart” claims;\n\n[3] “hypertext statement” claims were rendered obvious by prior art system;\n\n[4] “session identifier” claims were obvious; and\n\n[5] secondary considerations did not preclude conclusion that patent was obvious.\n\nReversed in part and vacated in part.\n\n""]","['\n\n*1334  Robert B. Wilson, Quinn Emanuel Urquhart & Sullivan, LLP, of New York, NY, argued for the plaintiff-\nappellee. With him on the brief were David Nelson and Neil G. Cave. Of counsel was Paul J. Ripp, Williams Montgomery\n& John Ltd., of Chicago, IL.\n\nEdward R. Reines, Weil, Gotshal & Manges, LLP, of Redwood Shores, CA, argued for the defendant-appellant. Of\ncounsel  on  the  brief  were  Kent  E.  Baldauf,  Jr.,  David  C.  Hanson  and  Daniel  H.  Brean,  The  Webb  Law  Firm,  of\nPittsburgh, PA; and Claudia W. Frost and Kevin M. Fong, Pillsbury Winthrop Shaw Pittman, LLP, of Houston, TX.\n\nBefore NEWMAN, PROST, and REYNA, Circuit Judges.\n\n']"
